city,latitude,longitude
Chang'an,34.2607713,108.9423443
Baoji,34.3645811,107.2332184
Pingliang,35.22678,106.495648
Longxi,35.0078952,104.639017
Lanzhou,36.0620781,103.8318566
Xining,36.617331,101.7761976
Wuwei,37.928881,102.6359886
Zhangye,39.121833,99.924947
Jiayuguan,39.7722294,98.2885388
Dunhuang,40.1411004,94.6607593
Hami,42.8254995,93.5130464
Loulan,38.97304815,88.00915914930744
Turpan,42.4561611,89.7283163
Urumqi,43.419754,87.319461
Korla,41.673238,85.716234
Yining,43.9052027,81.2747797
Kuqa,41.7134956,82.9544345
Aksu,41.1677575,80.2582136
Almaty,43.2363924,76.9457275
Rybachye,42.4625,76.19
Kashgar,37.8714865,77.1915562
Tashkurgan,37.7708167,75.2280894
Hotan,37.1144827,79.9200157
Qiemo,37.998243,85.812932
Tianshui,34.5797531,105.7062921
Damascus,33.5130695,36.3095814
Tyre,33.2705,35.2038
Aleppo,36.19924,37.1637253
Antioch,36.20472222,36.175
Baghdad,33.3061701,44.3872213
Tehran,35.6892523,51.3896004
Ashgabat,37.9404648,58.3823487
Merv,37.6604422,62.1913773
Bukhara,39.7675529,64.4231326
Samarkand,39.6550017,66.9756954
Delhi,28.6273928,77.1716954
